Method,Name,Error,Occurrences
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request 04c5f4b8-feff-43b9-ab5e-5ce0d19c3663.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request b3ce9cae-dda9-41ec-b381-cd8bc369c113.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request 07c97d1f-c290-4d16-ae49-2382b945a57a.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request 0a81e8b3-6967-4ff1-89cc-f5e9db8253e8.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request 89f0ca26-af16-4cc2-bb95-7c2e86d87f5d.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request 465cf0b7-9414-4411-998a-88891915fa5d.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request fc2f87fc-c33b-46e1-a203-426378f98fd2.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request 290e3301-c02c-43c0-9f8d-b36037b3852e.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request c6d5f412-042c-491c-a4eb-81a80be10af9.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request d85fe964-be0d-4169-aed3-1fa2edb6c31d.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request 3fc41bcb-5834-4211-855e-dbdf2107c34b.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request a3a64778-8a2f-4264-9789-a1e34a9390aa.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request b08f4672-b9cf-459e-a743-fd88e35a6a0f.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request bb157732-3a20-4aaf-b029-cb402be511e3.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request a9839644-4e38-44e8-b9a9-1576749f86d4.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request e24c84a2-b424-49e9-9159-a1cbad7d6db3.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request bd829ca4-45db-42cf-9093-ff7ff2bfd2ea.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request 1ae75317-8908-4925-bd8d-bad2ff7f63b2.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request 5a401cdb-8c8c-48b8-9def-5468f4bf31f2.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request 95b31e2f-3f1d-46ca-9446-747f7d438792.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request 552e1a0b-e881-4db1-8bc1-269cbb8daa3f.')""",1
